class,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,calls,types
580,-1,,"fprintf(stderr,""chdir %s : %s\n"",name,strerror(errno));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_34.cpp,28,"[""chdir_ret""]","[""strerror_ret"", null, ""chdir_arg_ret""]","[[], [u'fprintf', u'stderr', u'chdir', u'%s', u'%s\\n', u'name', u'strerror', u'errno']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/flist.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_75.cpp,"[""write_flush"", ""malloc"", ""chdir"", ""exit_cleanup"", ""lstat"", ""clean_flist"", ""getcwd"", ""strcat"", ""strerror"", ""set_filesystem"", ""out_of_memory"", ""fprintf"", ""strcpy"", ""S_ISDIR"", ""strrchr"", ""fflush"", ""strlen"", ""send_file_entry"", ""send_file_name""]","[""int"", ""char"", "" struct stat"", "" struct file_list""]"
580,-1,,"fprintf(stderr,""chdir %s : %s\n"",name,strerror(errno));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_34.cpp,28,"[""chdir_ret""]","[""strerror_ret"", null, ""chdir_arg_ret""]","[[], [u'fprintf', u'stderr', u'chdir', u'%s', u'%s\\n', u'name', u'strerror', u'errno']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_84.cpp,"[""stat"", ""chdir"", ""exit_cleanup"", ""mkdir"", ""strerror"", ""fprintf"", ""S_ISDIR""]","[""char"", "" struct stat"", "" struct file_list""]"
580,-1,,"fprintf(stderr,""chdir %s : %s\n"",name,strerror(errno));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_34.cpp,28,"[""chdir_ret""]","[""strerror_ret"", null, ""chdir_arg_ret""]","[[], [u'fprintf', u'stderr', u'chdir', u'%s', u'%s\\n', u'name', u'strerror', u'errno']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_85.cpp,"[""chdir"", ""send_files"", ""exit_cleanup"", ""strerror"", ""report"", ""fprintf"", ""getpid"", ""send_file_list"", ""strlen"", ""strcmp""]","[""int"", ""char"", ""void"", "" struct file_list""]"
580,-1,,"fprintf(stderr,""chdir %s : %s\n"",name,strerror(errno));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_34.cpp,28,"[""chdir_ret""]","[""strerror_ret"", null, ""chdir_arg_ret""]","[[], [u'fprintf', u'stderr', u'chdir', u'%s', u'%s\\n', u'name', u'strerror', u'errno']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_86.cpp,"[""fork"", ""chdir"", ""exit_cleanup"", ""get_local_name"", ""recv_file_list"", ""generate_files"", ""strerror"", ""waitpid"", ""read_total"", ""fprintf"", ""getpid"", ""recv_files"", ""recv_exclude_list"", ""strlen"", ""strcmp""]","[""int"", ""char"", ""void"", "" struct file_list""]"
589,-1,,"fprintf(FERROR,""generate_files phase=%d\n"",phase);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_222.cpp,44,[null],"[null, ""int""]","[[], [u'fprintf', u'FERROR', u'generate_files', u'phase', u'%d\\n', u'phase']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_0.cpp,[],"[""int"", "" struct target""]"
589,-1,,"fprintf(FERROR,""generate_files phase=%d\n"",phase);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_222.cpp,44,[null],"[null, ""int""]","[[], [u'fprintf', u'FERROR', u'generate_files', u'phase', u'%d\\n', u'phase']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_1.cpp,"[""malloc"", ""int"", ""qsort"", "" int"", ""out_of_memory"", ""gettag""]","[""int"", ""void"", "" struct sum_struct""]"
589,-1,,"fprintf(FERROR,""generate_files phase=%d\n"",phase);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_222.cpp,44,[null],"[null, ""int""]","[[], [u'fprintf', u'FERROR', u'generate_files', u'phase', u'%d\\n', u'phase']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_2.cpp,"[""write_int"", ""MIN"", ""fprintf"", ""write_buf"", ""write_flush"", ""map_ptr""]","[""int"", ""char"", ""void"", "" struct sum_struct"", ""off_t""]"
589,-1,,"fprintf(FERROR,""generate_files phase=%d\n"",phase);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_222.cpp,44,[null],"[null, ""int""]","[[], [u'fprintf', u'FERROR', u'generate_files', u'phase', u'%d\\n', u'phase']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_3.cpp,"[""gettag2"", ""MIN"", ""get_checksum2"", ""get_checksum1"", ""fprintf"", ""memcmp"", ""map_ptr"", ""matched""]","[""int"", ""void"", "" struct sum_struct"", ""off_t"", ""char"", ""tag"", ""uint32""]"
589,-1,,"fprintf(FERROR,""generate_files phase=%d\n"",phase);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_222.cpp,44,[null],"[null, ""int""]","[[], [u'fprintf', u'FERROR', u'generate_files', u'phase', u'%d\\n', u'phase']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_4.cpp,"[""hash_search"", ""build_hash_table"", ""fprintf"", ""free"", ""matched""]","[""int"", ""char"", ""void"", "" struct sum_struct"", ""off_t""]"
589,-1,,"fprintf(FERROR,""generate_files phase=%d\n"",phase);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_222.cpp,44,[null],"[null, ""int""]","[[], [u'fprintf', u'FERROR', u'generate_files', u'phase', u'%d\\n', u'phase']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/exclude.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_6.cpp,"[""strchr""]","[""int"", ""char""]"
